url	first_seen	portal	title	company	status	location
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/Virginia---Washington-DC-Metro---Remote/Sr-Software-Engineer--Cloud-Infrastructure---Slack_JR341726-1	2026-06-16	workday-api	Sr. Software Engineer, Cloud Infrastructure - Slack	Salesforce	added	Virginia - Washington DC Metro - Remote
https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/United-States-of-America-Eagan-Minnesota/Senior-Site-Reliability-Engineer_JREQ201277	2026-06-16	workday-api	Senior Site Reliability Engineer	Thomson Reuters	added	
https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/Mexico-Mexico-City/Senior-Security-Platform-Engineer_JREQ200734-1	2026-06-16	workday-api	Senior Security Platform Engineer	Thomson Reuters	added	
https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/India-Bengaluru-Karnataka/Staff-Software-Engineer-II_JREQ198100	2026-06-16	workday-api	Full Stack AI Engineer - 8+ years in Python/Devops/Cloud	Thomson Reuters	added	
https://broadcom.wd1.myworkdayjobs.com/External_Career/job/IND-Bangalore-Kalyani-Vista-II/Software-Systems-Engineer_R025953	2026-06-16	workday-api	Software Systems Engineer	Broadcom	added	IND-Bangalore-Kalyani Vista II
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Senior-Systems-Engineer_REF081210W	2026-06-16	workday-api	Senior Systems Engineer (4 - 7 years of experience in Hadoop DevOps, Python, SQL, Shell scripting)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Staff-Site-Reliability-Engineer--AWS--Terraform--Distributed-Systems-_REF083000W	2026-06-16	workday-api	Staff Site Reliability Engineer (AWS, Terraform, Distributed Systems)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Sr-Site-Reliability-Engineer_REF082185W	2026-06-16	workday-api	Sr. Site Reliability Engineer (Azure, IaC, Distributed Systems)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Systems-Engineer_REF078954W	2026-06-16	workday-api	Systems Engineer	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Software-Developer---Senior-Consultant-level--Middleware-Reliability-Engineering_REF059465W	2026-06-16	workday-api	Software Developer - Senior Consultant level, Middleware Reliability Engineering	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Senior-Site-Reliability-Engineer_REF082141W	2026-06-16	workday-api	Senior Site Reliability Engineer (Datacenter, Network, Cloud)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Sr-Site-Reliability-Engineer---Middleware--DevOps---Cloud_REF073160W	2026-06-16	workday-api	Sr Site Reliability Engineer - Middleware, DevOps & Cloud	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Lead-Systems-Engineer--Microsoft-Teams_REF080723W	2026-06-16	workday-api	Lead Systems Engineer, Microsoft Teams	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Sr-Systems-Engineer_REF079953W	2026-06-16	workday-api	Sr. Systems Engineer (3 - 6 years, Kafka, IBM MQ, DevOps, Cloud, Gen AI, Automation)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Lead-Software-Engineer_REF077434W	2026-06-16	workday-api	Lead Software Engineer - (14-18 years - Java, Cloud, Shared Services, Infra, Security, Platform Engineering)	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Senior-SW-Engineer---SRE--Production-Support--Linux--Networking--CI-CD_REF076295W-1	2026-06-16	workday-api	Senior SW Engineer - SRE, Production Support, Linux, Networking, CI/CD	Visa	added	IN - Bengaluru, India
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Site-Reliability-Engineer_REF079311W	2026-06-16	workday-api	Site Reliability Engineer	Visa	added	IN - Bengaluru, India
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/India-Pune/Senior-DevOps-Engineer_JR2019008	2026-06-16	workday-api	Senior DevOps Engineer	NVIDIA	added	India, Pune
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/India-Pune/Senior-System-Software-Engineer---Windows-DevOps-and-Test-Labs_JR2018854	2026-06-16	workday-api	Senior System Software Engineer - Windows DevOps and Test Labs	NVIDIA	added	India, Pune
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Saudi-Arabia-Remote/Senior-Solutions-Architect--Cloud-Infrastructure-and-DevOps_JR2016420	2026-06-16	workday-api	Senior Solutions Architect, Cloud Infrastructure and DevOps	NVIDIA	added	Saudi Arabia, Remote
https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/India-Bengaluru/Senior-Site-Reliability-Engineering---Storage_JR2018610	2026-06-16	workday-api	Senior Site Reliability Engineering - Storage	NVIDIA	added	India, Bengaluru
https://adobe.wd5.myworkdayjobs.com/external_experienced/job/Bangalore/Site-Reliability-Engineer-5_R162489	2026-06-16	workday-api	Site Reliability Engineer 5	Adobe	added	Bangalore
